id	種別	本文プレビュー	status(採用・修正・破棄)	修正内容	破棄理由
p7s-001	text_passage	[Part7単一/email] Subject: Interview Invitation — Marketing Coordinator Positi...	採用		
p7s-002	text_passage	[Part7単一/notice] FIRE DRILL NOTICE...	採用		
p7s-003	text_passage	[Part7単一/article] Local Charity Drive Raises Record Amount...	採用		
p7s-004	text_passage	[Part7単一/chat] Dana Lee [10:02 a.m.]...	採用		
p7s-005	text_passage	[Part7単一/form] ANNUAL INDUSTRY SUMMIT — REGISTRATION FORM (INSTRUCTIONS)...	採用		
p7s-006	text_passage	[Part7単一/advertisement] GRAND OPENING — Parkside Home Goods...	採用		
p7s-007	text_passage	[Part7単一/email] Subject: Re: Order 8834 — Damaged Item...	採用		
p7s-008	text_passage	[Part7単一/notice] OFFICE CLOSURE NOTICE...	採用		
p7s-009	text_passage	[Part7単一/article] Local Manufacturer Recognized for Sustainability Efforts...	採用		
p7s-010	text_passage	[Part7単一/chat] Priya Nair [3:12 p.m.]...	採用		
p7s-011	text_passage	[Part7単一/form] MEMBERSHIP RENEWAL — INSTRUCTIONS...	採用		
p7s-012	text_passage	[Part7単一/advertisement] Limited-Time Offer: Save on CloudDesk Software...	採用		
p7s-013	text_passage	[Part7単一/email] Subject: Introducing Our New Chief Financial Officer...	採用		
p7s-014	text_passage	[Part7単一/notice] NOTICE: Parking Garage Closure...	採用		
p7s-015	text_passage	[Part7単一/article] Annual Report Highlights Strong Growth...	採用		
p7s-016	text_passage	[Part7単一/chat] Yusuf Demir [9:05 a.m.]...	採用		
p7s-017	text_passage	[Part7単一/form] EXPENSE REIMBURSEMENT FORM — INSTRUCTIONS...	採用		
p7s-018	text_passage	[Part7単一/advertisement] Early-Bird Registration Now Open...	採用		
p7s-019	text_passage	[Part7単一/email] Subject: Update on Shipment Tracking Number 5521-A...	採用		
p7s-020	text_passage	[Part7単一/notice] NOTICE: Cafeteria Renovation Schedule...	採用		
p7s-021	text_passage	[Part7単一/article] New Branch Manager Brings Retail Experience...	採用		
p7s-022	text_passage	[Part7単一/chat] Owen Baxter [1:20 p.m.]...	採用		
p7s-023	text_passage	[Part7単一/form] VACATION REQUEST FORM — POLICY NOTICE...	採用		
p7s-024	text_passage	[Part7単一/advertisement] Job Fair — Meet Local Employers...	採用		
p7s-025	text_passage	[Part7単一/email] Subject: Notice of Price Adjustment — Effective Next Quarter...	採用		
p7s-026	text_passage	[Part7単一/notice] NOTICE: Elevator Inspection Results...	採用		
p7s-027	text_passage	[Part7単一/article] New Product Line Debuts to Positive Response...	採用		
p7s-028	text_passage	[Part7単一/chat] Nadia Petrov [11:40 a.m.]...	採用		
p7s-029	text_passage	[Part7単一/form] TRAINING SESSION SIGN-UP FORM — INSTRUCTIONS...	採用		
p7s-030	text_passage	[Part7単一/advertisement] Office Space Available for Lease...	採用		
p7s-031	text_passage	[Part7単一/email] Subject: Request for Proposal — Office Renovation Project...	採用		
p7s-032	text_passage	[Part7単一/notice] NOTICE: Security Badge Policy Reminder...	採用		
p7s-033	text_passage	[Part7単一/article] Tech Firm to Relocate Headquarters...	採用		
p7s-034	text_passage	[Part7単一/chat] Elena Voss [4:05 p.m.]...	採用		
p7s-035	text_passage	[Part7単一/form] CUSTOMER SATISFACTION SURVEY — INSTRUCTIONS...	採用		
p7s-036	text_passage	[Part7単一/advertisement] Now Hiring: Warehouse Associate...	採用		
p7s-037	text_passage	[Part7単一/email] Subject: Apology for Duplicate Billing...	採用		
p7s-038	text_passage	[Part7単一/notice] NOTICE: Scheduled Network Maintenance...	採用		
p7s-039	text_passage	[Part7単一/article] Family-Owned Bakery Celebrates Twenty Years...	採用		
p7s-040	text_passage	[Part7単一/chat] Kwame Asante [8:15 a.m.]...	採用		
